City_ID,City,Country,Max Temp,Current description,Lat,Lng,Hotel Name
574,Umm Lajj,SA,72.01,clear sky,25.0213,37.2685,Moon light Furnished Units
575,Grand Gaube,MU,79.0,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
576,Ahraura,IN,73.4,haze,25.0167,83.0167,Banu baba ka mandir Kajakpur
583,Porto Novo,BJ,80.6,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
586,Lampazos De Naranjo,MX,86.13,clear sky,27.0167,-100.5167,Bella Vista
587,Saint-Joseph,RE,77.0,overcast clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
588,Mahajanga,MG,73.4,scattered clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
592,Samarai,PG,79.34,overcast clouds,-10.6167,150.6667,Nuli Sapi
596,Pochutla,MX,82.4,few clouds,15.7432,-96.4661,Hotel Posada San Jose
603,Pundaguitan,PH,81.84,few clouds,6.3711,126.1689,Leonardo Family Beach House 1
604,Benjamin Constant,BR,77.0,broken clouds,-4.3831,-70.0311,CASA AVALIADA
605,Axim,GH,80.1,light rain,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
606,Karratha,AU,87.15,broken clouds,-20.7377,116.8463,ibis Styles Karratha
608,Nata,PA,75.2,few clouds,8.3333,-80.5167,Cabañas Estancia Bayamon
609,Carpinteria,US,75.99,clear sky,34.3989,-119.5185,Holiday Inn Express & Suites Carpinteria
611,Goundam,ML,82.27,clear sky,16.4145,-3.6708, 
615,Galle,LK,79.05,few clouds,6.0367,80.217,Amangalla
617,Gold Coast,AU,88.0,clear sky,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
618,Kieta,PG,84.09,light rain,-6.2167,155.6333,Uruna Bay Retreat
621,Buala,SB,81.28,light rain,-8.145,159.5921,Maringe Lagoon Lodge
622,Santa Maria,BR,75.2,clear sky,-29.6842,-53.8069,Hotel Morotin
626,Koumra,TD,82.47,overcast clouds,8.9126,17.5539,Motel Espoir
628,Manta,EC,80.6,scattered clouds,-0.95,-80.7333,Balandra Hotel
629,Ciudad Guayana,VE,76.73,broken clouds,8.3533,-62.6528,Hotel Las Americas
630,Tadine,NC,76.23,overcast clouds,-21.55,167.8833, 
631,Puerto Escondido,MX,82.4,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
636,Ahuimanu,US,80.6,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
638,Merauke,ID,84.65,broken clouds,-8.4667,140.3333,PC
642,Amapa,BR,71.38,scattered clouds,1.0,-52.0, 
643,Belmonte,BR,73.4,mist,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
647,Ixtapa,MX,77.0,clear sky,20.7,-105.2,Hotel Plaza Providencia
649,Haldwani,IN,79.45,clear sky,29.2167,79.5167,OYO Premium Nainital Road Haldwani
650,Quatre Cocos,MU,79.0,light rain,-20.2078,57.7625,Emeraude Beach Attitude Hotel
651,Salur,IN,81.41,broken clouds,18.5333,83.2167,Thammana Bhagavan
652,Bouna,CI,82.2,overcast clouds,9.2667,-3.0,Hotel Reserve
655,Udayagiri,IN,81.01,broken clouds,20.1333,84.3833,Balaram panda
659,Port-Gentil,GA,80.02,overcast clouds,-0.7193,8.7815,Fengshui Residence
660,Goya,AR,77.31,scattered clouds,-29.14,-59.2626,Apart Costanera
662,Auki,SB,81.84,overcast clouds,-8.7676,160.7034,Auki Motel
663,Gorontalo,ID,88.56,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
665,Alta Floresta,BR,77.0,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
670,Romita,MX,82.4,clear sky,20.8667,-101.5167,HOTEL RESTER
676,Katherine,AU,89.6,scattered clouds,-14.4667,132.2667,Pine Tree Motel
678,Khanpur,PK,78.39,clear sky,28.6453,70.6567,Ahmad bartan store
680,Morondava,MG,73.98,overcast clouds,-20.2833,44.2833,La Case Bambou
681,Petatlan,MX,84.2,clear sky,17.5167,-101.2667,Hotel California Petatlán
684,Makakilo City,US,80.6,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
688,Kishi,NG,75.67,broken clouds,9.0833,3.85,NCCF Kishi
698,Denpasar,ID,84.2,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
700,Meulaboh,ID,80.76,overcast clouds,4.1363,96.1285,Kost Pria
701,Santa Rosa,PH,89.01,few clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
707,Ormara,PK,77.9,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
709,San Felipe,VE,71.56,overcast clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
712,San Pedro De Macoris,DO,75.0,broken clouds,18.4616,-69.2972,Apartahotel Guaraguao
716,Hobyo,SO,81.34,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
717,Lodwar,KE,83.71,few clouds,3.1191,35.5973,Turkwel Lodge
719,Tabuk,PH,81.21,scattered clouds,17.4189,121.4443,Golden Berries Hotel and Convention
720,Puerto Carreno,CO,74.82,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
721,Caibarien,CU,75.2,scattered clouds,22.5206,-79.4669,La Nena
722,Ligayan,PH,81.72,broken clouds,4.6533,119.4706, 
723,Honolulu,US,80.6,scattered clouds,21.3069,-157.8583,Aston at the Executive Centre Hotel
726,Sorong,ID,82.56,overcast clouds,-0.8833,131.25,waigo splash hotel
727,Kralendijk,BQ,80.6,overcast clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
731,Cockburn Town,TC,75.6,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
732,Hirara,JP,73.4,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
735,Kalmunai,LK,80.69,clear sky,7.4167,81.8167,VS Villa
736,Bonfim,BR,74.28,light rain,3.0833,-59.95, 
