City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
138,Saldanha,ZA,2021-04-04 23:52:25,-33.0117,17.9442,62.6,88,15,6.91
139,Cherskiy,RU,2021-04-04 23:52:25,68.75,161.3,0.27,86,53,0.76
140,Avarua,CK,2021-04-04 23:48:22,-21.2078,-159.775,84.2,74,40,18.41
141,Martapura,ID,2021-04-04 23:52:26,-3.4167,114.85,77.0,94,20,5.75
142,Marzuq,YE,2021-04-04 23:52:26,14.4,46.4667,65.71,17,1,1.54
143,Anadyr,RU,2021-04-04 23:52:27,64.75,177.4833,0.0,65,0,11.18
144,Findlay,US,2021-04-04 23:52:27,41.0442,-83.6499,71.6,20,1,5.28
145,Lasa,IT,2021-04-04 23:52:28,46.6166,10.7002,43.0,69,0,6.91
146,Necochea,AR,2021-04-04 23:52:28,-38.5473,-58.7368,63.0,75,7,5.01
147,Gazanjyk,TM,2021-04-04 23:52:28,39.2446,55.5154,55.15,49,0,7.65
148,Touros,BR,2021-04-04 23:52:29,-5.1989,-35.4608,78.8,83,20,5.75
149,Souillac,MU,2021-04-04 23:52:30,-20.5167,57.5167,80.01,77,35,7.0
150,Taltal,CL,2021-04-04 23:52:30,-25.4,-70.4833,66.24,76,20,2.17
151,Lebu,CL,2021-04-04 23:52:30,-37.6167,-73.65,53.69,89,42,10.65
152,Betong,TH,2021-04-04 23:52:31,5.7743,101.0723,71.96,96,82,1.59
153,Nikel,RU,2021-04-04 23:52:31,69.4128,30.222,33.8,93,90,13.8
154,Severo-Kurilsk,RU,2021-04-04 23:52:32,50.6789,156.125,29.97,80,96,14.09
155,La Crosse,US,2021-04-04 23:52:32,43.8014,-91.2396,78.8,22,1,11.5
156,Hobyo,SO,2021-04-04 23:52:32,5.3505,48.5268,81.97,70,76,12.24
157,Tobol,KZ,2021-04-04 23:52:33,52.6844,62.5794,33.55,96,100,10.33
158,Thompson,CA,2021-04-04 23:52:33,55.7435,-97.8558,44.6,26,75,6.91
159,Lata,PT,2021-04-04 23:52:34,40.1629,-8.3327,50.0,80,0,3.51
160,Kashi,CN,2021-04-04 23:52:34,39.4547,75.9797,41.0,70,75,4.47
161,Novyy Urengoy,RU,2021-04-04 23:52:34,66.0833,76.6333,31.14,94,100,10.78
162,Andenes,NO,2021-04-04 23:52:35,69.3143,16.1194,30.0,93,66,16.11
163,Esperance,AU,2021-04-04 23:52:35,-33.8667,121.9,64.4,82,40,12.66
164,Olonets,RU,2021-04-04 23:52:36,60.9847,32.9698,34.07,88,92,13.87
165,Mezen,RU,2021-04-04 23:52:36,65.8522,44.24,30.83,95,100,11.52
